lat	lon
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
-41	-74.45
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.33333333	19.1
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	19.11666667
68.36666667	18.7
68.36666667	18.7
68.36666667	18.7
68.36666667	18.7
68.36666667	18.7
68.36666667	18.7
68.36666667	18.7
-16.63333333	146.3
-16.63333333	146.3
-16.63333333	146.3
-3.095	-90.81833
57.50139	-15.8675
0.31778	159.357
0.31778	159.357
2.255	-90.95111
10.7	-65.94167
10.7	-65.94167
10.7	-65.94167
10.7	-65.94167
10.7	-65.94167
10.7	-65.94167
10.7	-65.94167
2.255	-90.95111
2.255	-90.95111
0.51667	-92.4
0.51667	-92.4
0.51667	-92.4
0.51667	-92.4
0.51667	-92.4
0.51667	-92.4
8.20556	-84.12194
8.20556	-84.12194
8.20556	-84.12194
8.20556	-84.12194
8.20556	-84.12194
8.20556	-84.12194
18.836	116.566
18.835	116.565
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-7.4	115.2
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.566666667	119.3833333
-3.095	-90.81833
0.0833	37.5333
0.0833	37.5333
0.0833	37.5333
0.0833	37.5333
0.0833	37.5333
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
25.2	-112.7
-42.91333333	8.973333333
-43.51667	79.86667
-43.51667	79.86667
27.4835	-112.0741
27.4835	-112.0741
27.4835	-112.0741
27.4835	-112.0741
27.4835	-112.0741
27.4835	-112.0741
27.4835	-112.0741
27.4835	-112.0741
27.4835	-112.0741
0.318333333	159.3616667
0.318333333	159.3616667
67.49966667	172.1038333
67.49966667	172.1038333
-5.9375	103.246
-5.9375	103.246
-5.9375	103.246
-1.4945	100.128
-1.4945	100.128
-1.4945	100.128
-5.9375	103.246
-5.9375	103.246
-5.9375	103.246
-5.9375	103.246
-5.9375	103.246
-5.9375	103.246
-5.9375	103.246
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
-0.7833	99.9
3.5167	96.3167
3.5167	96.3167
3.5167	96.3167
3.5167	96.3167
3.5167	96.3167
3.5167	96.3167
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
66.2295	-23.2655
43.8708	-64.9271
43.8708	-64.9271
43.8708	-64.9271
43.8708	-64.9271
43.8708	-64.9271
43.8708	-64.9271
43.8708	-64.9271
43.8708	-64.9271
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
-50	6
